PageNumber,Year,Title_TR,Title_EN,Abstract_TR,Abstract_EN,Keywords_TR,Keywords_EN
288,2021-2022,Milli Ürünlerimiz için Yerlilik Oranı Hesaplama Metodolojisinin Geliştirilmesi,Development of Indigenisation Rate Calculation Methodology for Our National Products,"Günümüz rekabet ortamında, ülkelerin en değerli varlığı olan yüksek katma değerli ürünleri ülke içinde üretmesi bir zorunluluk halini almıştır. Yüksek katma değerli ürünler ne kadar çok yurt içerisinde üretilirse, ülke dışına aktarılan döviz de o oranda ülke içerisinde kalır. Günümüzde yaşanan hızlı teknolojik gelişmeler ile sosyo-ekonomik ve politik ortamda yaşanan değişimler sonucu, üretilen sistemlerin ülke içinde uzmanlaşmış firmaların/kurumların bünyesinde üretilmesi gerekliliği ortaya konulmuştur. Malzemenin/sistemin ne kadarının yerli üretildiğini, ne kadarının dışarıdan alındığını ifade etmek için ise “yerlilik oranı” terimi kullanılmaktadır. Bu çalışmada, milli ürünlerimiz için yerlilik oranı hesaplanmasında 2 ana kriter ve 7 alt kriter temel alınmıştır. Kriter ağırlıklarının hesaplanmasında, yöntem olarak Çok Kriterli Karar Verme Yöntemi AHP (Analitik Hiyerarşi Prosesi) ve ANP (Analitik Ağ Prosesi), modelinin kurulması, tüm kriterlerin ikili karşılaştırmalarının yapılması, uzman görüşlerinin ilgili modele aktarılması ve tutarlılık oranı kontrolü için Super Decisions yazılımı kullanılmıştır. Böylece sistemlerin ürün ağacında yer alan malzeme, üretilen sistem, hazır sistem ve karma sistemlerin tüm sisteme etkisi incelenmiş ve önerilen metodoloji ile yerlilik oranı hesaplanması yapılmıştır. Mevcut durum göz önüne alındığında gelecekteki yerlilik oranlarının ne oranda değiştiğinin bulunması amaçlanmaktadır.","In today's competitive environment, it has become a necessity for countries to produce high value-added products, which are the most valuable assets, within the country. The more high value-added products are produced domestically, the more foreign currency transferred abroad remains within the country. As a result of the rapid technological developments and changes in the socio- economic and political environment today, it has been revealed that the systems produced must be produced within the body of specialized companies/institutions in the country. The term “indigenisation rate” is used to express how much of the material/system is produced locally and how much is imported. In this study, 2 main criteria and 7 sub-criteria are taken as basis in calculating the indigenisation rate for our national products. In the calculation of criteria weights, Multi-Criteria Decision Making Method AHP (Analytical Hierarchy Process) and ANP (Analytical Network Process) were used. Then, Super Decisions software was used to set up the model, make pairwise comparisons of all criteria, transfer expert opinions to the relevant model, and control the consistency ratio. Thus, the effect of the material, produced system, ready system and mixed systems in the product tree of the systems on the whole system was examined and the indigenisation rate was calculated with the proposed methodology. In addition, considering the current situation, it is aimed to find out how much the future indigenisation rates have changed.","Yerlilik Oranı, Kriter Ağırlıkları, Ürün Ağacı.","Indigenisation Rate, Criteria Weights, Product"
294,2021-2022,Milli Ürünlerimizin Üretiminde Yer Alan Firmaların Veri Tabanın Oluşturulmasına Yönelik Veri Modellemesi ve Analizi,Data Modeling and Analysis for Creating the Database of Firms Taking Part in the Production of Our National Products,"Bu projede temel amaç, Türk Havacılık ve Uzay Sanayii A.Ş. (TUSAŞ) için etkili ve kullanışlı bir veri tabanı yapısı tasarlamaktır. Bir diğer amaç ise belirli kriterler göz önüne alınarak gerekli sistem, malzeme veya hizmet için en ideal tedarikçiyi seçmektir. Bunun bir Karar Destek Sistemi (KDS) yardımıyla yapılması planlanmıştır. KDS’nin bir modelleme olarak gösterilmesi hedeflenmektedir. KDS’de bir Çok Kriterli Karar Verme (ÇKKV) yöntemi yer alacaktır. TUSAŞ’ın ek talebi doğrultusunda, veri toplama ve toplanan veriyi veri tabanına aktarma işlemlerini yapabilen bir sistem tasarlanmıştır.","The main aim of this project is to create an effective and useful database structure for Turkish Aerospace Industries, Inc (TAI). The secondary aim is to select the most suitable supplier for the required system/subsystem, material, and service, considering the specific criteria in the database. This is planned to be done with the help of a Decision Support System (DSS). A Multi-Criteria Decision Making method will be included in the DSS. Upon the additional request of TAI, a system has been designed that can perform data collection and transfer of the collected data to the database.","Veri modelleme, Veri tabanı, Tedarikçi seçimi, Karar Destek Sistemi, Çok Kriterli Karar Verme, Python, PostgreSQL","Data modeling, Database, Supplier selection, Decision Support System, Multi-criteria Decision-Making, Python, PostgreSQL"
300,2021-2022,Tedarikçi Performansı Değerlendirme ve İzleme için İş Zekası Araçlarına Dayalı bir Veri Modeli,A Data Model Based on Business Intelligence (BI) Tools for Supplier Performance Evaluation and Monitoring,"Firma kabiliyetlerinin kayıt altına alınması, verimli bir şekilde yönetilmesi/takibi ve hayata geçirilecek projelerde doğru eşleştirmelerin yapılabilmesi işletmeler için büyük önem arz etmektedir. Bu çalışmada tedarikçi performansı değerlendirme ve izleme süreci için bütünleşik bir yaklaşım sunulmaktadır. Çalışmanın ilk aşamasında tedarikçi kabiliyetlerini doğru analiz etmek amacıyla kriter kümeleri oluşturulmuş ve En iyi – En kötü (BWM) yöntemi ile önem seviyeleri belirlenmiştir. Ardından TODIM yöntemi ile firmaların performansları analiz edilmiştir. İkinci aşamada ise iş zekası araçları ile farklı senaryolar altında tedarikçi performansının takibi için bir veri modeli sunulmuştur.","It is significant for businesses to record the supplier's capabilities, manage/monitor them efficiently, and make the correct matches in the projects to be implemented. This study presents an integrated approach to the supplier performance evaluation and monitoring process. In the first stage of the study, criteria sets were created to analyze the supplier capabilities correctly, and their importance levels were determined using the Best Worst (BWM) method. Then, the performances of the suppliers were analyzed with the TODIM method. In the second stage, a data model is introduced to monitor supplier performance under different scenarios using business intelligence (BI) tools.",tedarikçi değerlendirme; veri modeli; iş zekası; power BI.,supplier evaluation; data model; power B
306,2021-2022,Montaj Alanlarında Hat Dengeleme ve Karar Destek Sistemi Tasarımı,Assembly Line Balancing and Design of Decision Support System,"Montaj hattı dengeleme problemi(MHDP); çevrim süresini eniyilemek, kaynak kullanım oranını arttırmak, boş süreleri ve bekleme zamanlarını minimum seviyeye indirmek ve bu sebepten oluşabilecek maliyetleri eniyilemek amacıyla çözülmektedir. Problemin çözümü için Kritik Yol Metodu (CPM), Greedy ve Breadth First Search(BFS) yöntemleri kullanılarak sezgisel bir algoritma geliştirilmiş ve Python programlama diliyle kodlanıp kullanıcı dostu bir ara yüze aktarılmıştır. Tasarlanan program ile; çevrim süresi eniyilenmiş, bekleme süreleri azaltılmış ve yetenek matrisi entegre edilmiştir. Elde edilen çıktıda; operatörlerin vardiya atamaları, çalışanların doluluk oranları, operasyonların hangi sırada, hangi çalışanlar tarafından gerçekleştirileceği ve hem üretim günü hem de takvim günü olarak toplam iş süresi bilgileri yer almaktadır. Geliştirilen karar destek sistemi ile, çalışanların doluluk oranları yaklaşık %90’a ulaşılmış ve bir vardiya için 7 saatlik iş süresinde yaklaşık %6 oranında iyileştirme sağlanmıştır.","Assembly line balancing problems are solved to optimize the cycle time, increase the resource utilization rate, to minimize the null times and waiting times, and to optimize the costs that may arise because of this reason. For the solution of project, a heuristic algorithm was created with the Critical Path Method (CPM), Greedy and Breadth First Search(BFS) methods. It is coded with Python programming language and transferred to a user-friendly interface. Thanks to the program designed, the cycle time is optimized, waiting times are reduced and a skill- based matrix is integrated. In the output obtained; the shift assignments of the operators, the occupancy rates of the workers, the order of operations, identities of workers and the total work time, both manufacturing and calendar days. As a result, the occupancy rate of the workers has reached approximately %90 and approximately 6% improvement in the work time for one shift(7 hours).","Montaj Hattı Dengeleme, CPM, Sezgisel Algoritma","Assembly Line Balancing, CPM, Heuristic Algorithm"
312,2021-2022,Müşteri Memnuniyeti Çalışması,Customer Satisfaction Study,"Bu makalede Türk Havacılık ve Uzay Sanayii LIFT UP Sanayi Odaklı Bitirme Projeleri Programı kapsamında yürütülen, Müşteri Memnuniyeti Çalışması hakkında bilgiler yer almaktadır. Çalışmanın ilk kısmında problem tanımı yapılmıştır ve izlenecek adımlar açıklanmıştır. Havacılık ve savunma sektöründeki müşteri memnuniyetine yönelik literatür çalışmaları araştırılmış ve açıklanmıştır. Bu problemin çözümü için kullanılan bazı ölçüm yöntemleri incelenmiştir. Sonrasında havacılık ve savunma sektöründeki yerli ve yabancı firmaların müşteri memnuniyeti ile ilgili yaptıkları çalışmalar detaylı olarak açıklanmıştır. Yapılan araştırmalar sonucunda Analitik Hiyerarşi Prosesi (AHP) yöntemi metrik ağırlıkları bulmada kullanılmıştır. Çıkan sonuçlar incelenmiş ve son olarak da firmaya bazı öneriler sunulmuştur. Çalışma, Gazi Üniversitesi öğrencileri tarafından, TUSAŞ sanayi danışmanları ile yürütülmüştür.","This article contains information about the Customer Satisfaction Study conducted within the scope of the Turkish Aerospace Industry LIFT UP Industry-Oriented Finishing Projects Program. In the first part of the study, the problem definition was made and the steps to be followed were explained. The literature studies on customer satisfaction in the aviation and defense sector have been researched and explained. Some measurement methods used to solve this problem have been studied. After that, the studies of domestic and foreign companies in the aerospace and defense sector related to customer satisfaction were explained in detail. As a result of the research conducted, the Analytical Hierarchy Process (AHP) method was used to find metric weights. The results obtained were examined and finally some suggestions were presented to the company. The study was conducted by Gazi University students under the supervision of TUSAŞ mentors.","müşteri memnuniyeti, AHP, metrik ağırlığı.","customer satisfaction, AHP, metric weight."
316,2021-2022,Radar Sinyallerini Absorbe Eden Malzemelerin Elektromanyetik Karakterizasyonu İçin Sistem Tasarımı ve Matemetiksel Modeli,A Study on Electromagnetic Characterization System Design of Radar Absorbing Materials and Mathematical Modeling,"Bu çalışma temel olarak, hedeflerin radarlar tarafından tespit edilebilme olasılığını düşürme amacıyla kullanılan nanomalzemelerin elektromanyetik iletim ve yansıma karakteristiği ölçümünün düşük maliyetli ve hızlı bir şekilde sonuç alınmasını sağlayan bir ölçüm sistem tasarlanmıştır. Tasarlanan ölçüm sisteminin doğrulanması için dalga kılavuzu yöntemi ile vektör network analizörü kullanılarak çeşitli nanomalzeme numunelerinin saçılma parametreleri ölçülmüştür. Ayrıca tasarlanan ölçüm sistemi, çeşitli elektromanyetik dalga yayılım yöntemleri kullanılarak matematiksel olarak modellenmiş ve tasarımın boyutsal parametreleri belirlenmiştir.","This study aims to provide a system that measures the electromagnetic reflection and transmission characeristics of radar absorbing nanomaterials in a quick and inexpensive manner. In the study, the designed system was validated by measuring scattering parameters by vector network analyzer with the waveguide method. Besides, the measurement system was mathematicially modelled by electromagnetic wave propagation methods to specify dimensional parameters of designed measurement system.",nanomalzeme; dalga kılavuzu; vektör network analizörü; saçılma parametreleri.,nanomaterial; waveguide; vector network analyzer; scattering parameters.
322,2021-2022,Otonom Hava Muharebelerinde Bulanık Metodlar Kullanılarak Karar Verme Algoritmalarının Gerçeklenmesi ve Analizi,Realization and Analysis of Decision-Making Algorithms Using Fuzzy Methods in Autonomous Air Combat,"Hava muharebelerinde otonominin giderek yaygın- laşmasıyla birlikte görevleri yüksek başarı oranlarıyla gerçekleş- tirecek uçuş algoritmalarının önemi her geçen gün artmaktadır. Bu çalışmada ise bulanık mantık destekli karar verme algoritma- ları ile otonom hava muharebelerinde meydana gelebilecek du- rumlar için bulanık mantık kural tabanı ile MATLAB kullanıla- rak uçuş senaryolarının simülasyon ortamında gerçeklenmesi amaçlanmıştır. Uçakların it dalaşındaki etkinliği değerlendiril- mektedir. Algoritma, hedef uçak hareketine bağlı olarak bulanık mantık kural tabanına göre uygun referans değerlerini üreterek saldırı manevraları gerçekleştirmektedir.","With the increasing prevalence of autonomy in air combat, the importance of flight algorithms that will perform tasks with high success rates is increasing with each passing day. In this study; for situations that can occur in fuzzy logic-assisted decision-making algorithms and autonomous air combat, the fuzzy logic rule base is intended to be realized in the simulation environment using MATLAB. The effectiveness of aircraft in dogfights is being evaluated. The algorithm performs attack maneuvers by generating the appropriate reference values ac- cording to the fuzzy logic rule base depending on the movement of the target aircraft.","otonom hava muharebeleri, bulanık mantık, karar verme algoritmaları, it dalaşı.","autonomous air combat, fuzzy logic, decision- making algorithms, dogfights."
328,2021-2022,Ozon Gazının Jet Türbinli Motorlarda Yanma Verimliliğine Etkisi ve Ozonu Absorbe Edecek Malzemelerin Araştırılması,The Effect of Ozone Gas on Combustion Efficiency in Jet Turbine Engines and Investigation of Ozone Absorbing Materials,"Bu çalışma iki ana başlık altında ele alınmıştır. Bunlardan ilki ozonun yanma sürecine olan etkilerinin incelenmesidir. İkincisi ise ozonu absorbe edebilecek malzeme araştırmalarıdır. Ozon ilaveli yanma ile ilgili şimdiye kadar yapılan çalışmalar, ozonun tutuşmayı hızlandırma, alev yayılımını ve alev stabilizasyonunu geliştirme, emisyonları ve yakıtın reaktivite özelliklerini değiştirmek için yakıtı işleme ve belirli kirletici oluşumunu azaltma yeteneğine sahip olduğu göstermiştir. Bu kapsamda, ozonun jet türbinli motorlarda yanma olayına etkisi ANSYS Fluent ticari yazılımı kullanılarak farklı koşullar altında incelenmiştir. İkinci olarak, son yıllarda uçaklar yakıt sarfiyatını azaltmak için 13.716 km gibi yüksek irtifalarda uçuş yapmaya başlamışlardır. Yüksek irtifalarda ozonun fazla olması ve uçağın iklimlendirme sistemine giriş yapması sebebi ile pilot ve yolcularda sağlık sorunlarına neden olmaktadır. Ozonun ayrışması için yapılan çalışmalar absorbsiyon, termal bozunma ve kataliz yöntemlerini içermektedir. Ozonun ayrışması için en çok kullanılan yöntem ise ozonun aktif karbon ile adsorbe edilip değerli metallerin veya metal oksitlerin yardımı ile katalize edilmesidir. Çalışma kapsamında ise TiO2/AC filtresi tasarlanmış ve uçuşun gerçekleştiği ortam göz önüne alınarak ozonun ayrışmasını etkileyecek faktörler incelenmiştir.","This study is discussed under two main headings. The first of these is the examination of the effects of ozone on the combustion process. The second is the research of materials that can absorb ozone. Studies so far on ozone-added combustion have shown that ozone has the ability to accelerate ignition, improve flame propagation and flame stabilization, treat fuel to change emissions and reactivity properties of the fuel, and reduce the formation of certain pollutants. In this context, the effect of ozone on combustion in jet turbine engines was investigated under different conditions using ANSYS Fluent commercial software. Secondly, in recent years, airplanes have started to fly at high altitudes such as 13,716 km in order to reduce fuel consumption. Due to the fact that ozone is too high at high altitudes and it enters the air conditioning system of the aircraft, it causes health problems for the pilot and passengers. Studies for the decomposition of ozone include absorption, thermal decomposition and catalysis methods. The most widely used method for ozone decomposition is to adsorb ozone with activated carbon and catalyze it with the help of precious metals or metal oxides. Within the scope of the study, the TiO2/AC filter was designed and the factors affecting the decomposition of ozone were examined considering the environment in which the flight takes place.","Ozon Filtreleme, Gaz Türbini, Ozon, Yanma Verimi","Ozone Filtration, Gas Turbine, Ozone, Combustion efficiency"
334,2021-2022,Piezo-Elektrik Kompozitlerin Havacılık Uygulamalarında Kullanılması,Usage of Piezo-Electric Composites in Aviation Applications,"Bu projede piezoelektrik kompozit aktüatörlerin değişen çevresel faktörlere cevap vermesinden faydalanarak havacılık alanındaki uygulanabilirliğini araştırmak ve hazırda bulunan uygulamayı geliştirmek hedeflenmiştir. Seyir esnasındaki uçak kanadında oluşan titreşimin azaltılması, sönümlenmesi piezoelektrik aktüatör kullanarak gerçekleştirilmesi hedeflenmiştir. Aşırı titreşim sonucu parçada oluşan yorulma, uçakta sarsıntıya sebep olur ve bu da ciddi bir problem teşkil etmektedir. Oluşan bu sarsıntı, Sonlu Elemanlar Yöntemine dayalı modellenmiştir. ANSYS Modal Analizi kullanılarak uçak kanadı ve aktüatörden oluşan geometrik modeli üzerinde toplam gerilme ve deformasyon (stree/strain) dağılımları hesaplanmıştır. Elde edilen analiz sonuçlarıyla piezoelektrik kompozitlerden yapılmış aktüatörlerin havacılık uygulamalarındaki fizibilitesi ve analiz sonuçları değerlendirilmiştir.","In this project , piezoelectric composite It is aimed to investigate the applicability of the actuators in the field of aviation and to improve the existing application by taking advantage of the response of the actuators to the changing environmental factors. Reducing and damping the vibration of the aircraft wing during cruise is piezoelectric . It is aimed to be realized using an actuator . Fatigue in the part as a result of excessive vibration causes vibration in the aircraft and this poses a serious problem. This shaking is modeled based on the Finite Element Method. By using ANSYS Modal Analysis, the total stress and deformation ( stree / strain ) distributions were calculated on the geometric model consisting of aircraft wing and actuator . With the analysis results obtained, piezoelectric The feasibility and analysis results of actuators made of composites in aerospace applications were evaluated.",Havacılık; Piezoelektrik Kompozit; Aktüatör; Titreşim; Deformasyon; Analiz,Aviation; Piezoelectric Composite; Actuator; Vibration; Deformation; Analysis
340,2021-2022,Piezoelektrik Kompozitlerin Havacılık Uygulamalarında Kullanılması,Use of Piezoelectric Composites in Aviation Applications,"Bu projede, havacılık ve uzay sanayisi teknolojilerinde yeni çözümler geliştirmek üzere piezoelektrik ve polimer esaslı kompozitler bir araya getirilmek istenmektedir. Bu bağlamda, özellikle mekanik sistemlerin çatlak kontrolünde piezoelektrik malzemeler kullanılacaktır. Çalışmada, insanlı veya insansız hava araçlarının kompozit kanatlarına yerleştirilecek dayanıklı piezoelektrik filmler yardımıyla, deformasyonlara bağlı oluşacak elektrik alan değişimlerinin incelenmesi ile çatlakların varlıklarının ve bazı karakteristiklerinin tespit edilmesi amaçlanmaktadır.","In this project, merging piezoelectric and polymer based composites is intended to developed new solution for aviation and aerospace technologies. In this context, piezoelectric materials are used especially to control cracks of the mechanical systems. In the study, define existance and some characteristics of the cracks by investigation of deformation related changes on electrical fields with help of durable piezoelectric films which are placed on manned and unmanned aerial vehicles is aimed.","Piezoelektrik, Çatlak tespiti, PZT","Piezoelectric, PZT, Crack detection."
346,2021-2022,AL-7075 Alaşımının Talaşlı İşlenmesinde Titreşim Parametrelerinin Yapısal Sağlık İzleme ile Takibi,Monitoring of Vibration Parameters During AL-7075 Alloy Machining with Structural Health Monitoring Technique,"Yapısal sağlık izleme (YSİ) yöntemi yapıdaki değişimleri, yapı üzerine eklenen sensörler ile bütünleşerek veri iletimi sayesinde algılayabilen bir tekniktir. Elektromekanik Empedans Spektroskopi (EMES) tekniği, yapısal sağlık izleme için yeni bir yöntemdir. Bu kapsamda literatürdeki çalışmaları incelendiğinde malzemeler üzerindeki termal ve mekanik etkilerin EMES yöntemi ile incelendiği görülmüştür. Ayrıca EMES yönteminin son yıllarda imalat sektörüne uygulanabilirliği araştırılmaya başlanmıştır. İmalat operasyonlarında EMES yönteminin titreşim analizlerinde de kullanılabileceği şu aşamada çalışılmamıştır ve incelenmesi gereken bir başlıktır. Bu çalışmada gerçekleştirilen frezeleme işleminde Al-7075 T6 malzemesi işlenmiştir. Alüminyum alaşımları düşük yoğunlukları, düşük süneklik değerleri, yüksek dayanım özellikleri ve iyi korozyon direncine sahip malzemelerdir. Bu nedenlerden dolayı otomotiv, savunma, uzay ve havacılık gibi önemli endüstri alanlarında alüminyum alaşımları sıklıkla tercih edilmektedir. Al7xxx serisi alüminyum alaşımları sahip oldukları üstün özelliklerden dolayı endüstrinin birçok önemli alanında yaygın olarak kullanılmaktadır. Frezeleme işleminde kesme derinliği 0.5 mm, ilerleme hızı 50-70 mm/dk aralığında ve takımın dönme hızı 4300 d/dk olarak belirlenmiştir. Frezeleme sırasında özel mikrofon ile anlık titreşim datası (Hızlı Fourier dönüşümü ile hesaplanan genlikler) alınırken aynı zamanda sensör ile empedans verileri alınmıştır. Ölçümlerde normal sensör kullanılmıştır. Elde edilen empedans grafikleri ile Hızlı Fourier dönüşümü grafikleri frekans grafikleri açısından kıyaslanmıştır. Yaklaşık olarak aynı frekans aralıklarında tepe değerlerinin oluştuğu görülmüştür. Bu çalışma ile frezeleme sürecinin titreşim açısından anlık olarak kontrolü amaçlanmaktadır.","Using data transmission and sensors attached to a structure, structural health monitoring can detect changes in a structure. Electromechanical Impedance Spectroscopy (EMES) technique is a new method for structural health monitoring. Studies in the literature indicate that thermal and mechanical effects on the materials are examined by the EMES method. The application of the EMES method to the manufacturing sector has also been studied in recent years. At this stage, the EMES method has not been studied for vibration analysis in manufacturing operations, so it is a topic that needs to be explored. The milling process used in this study involved Al-7075 T6 material. Aluminum alloys have low densities, low ductility, high strength properties, and good corrosion resistance. Due to these reasons, aluminum alloys are often preferred in important industrial fields such as automotive, defense, and aerospace. Al7xxx aluminum alloys are widely used in many important areas of the industry due to their superior properties. Milling was performed with a depth of cut of 0.5 mm, a feed rate of 70 mm/min, and a rotational speed of 4300 rpm. During milling, 345 LIFT UP Sanayi Odaklı Lisans Bitirme Projeleri Programı 2021-2022 Projeleri Bildiri Kitabı vibration data (amplitudes calculated by Fast Fourier transform) was acquired with a special microphone, while impedance data was acquired with the sensor. Normal sensors were used for the measurements. In terms of frequency graphs, the impedance graph and the Fast Fourier Transform graph were compared. Peak values have been observed to occur within the same frequency ranges. By carrying out this study, it is intended to control the milling process on an instantaneous basis in terms of vibration.",Piezoelektrik; Empedans; EMES; Frezeleme; Al-7075,
352,2021-2022,Pilot Kurtarma (Fırlatma) Anında Polikarbonat Malzemeyi Kesme Yöntemlerinin İncelenmesi,Investigation of the Shattering Methods of Polycarbonate at the Moment of Pilot Ejection,"Günümüzde uçaklar çok çeşitli ve farklı sistemlerin birleşmesi ile çalışır. Bu sistemlerde oluşabilecek en küçük hata bile uçağın işleyişini tehlikeye sokabilir. Bazen bu tehlikeler uçaklar kalkışa geçmeden önce tespit edilip önlenebilir veya pilot uçuş esnasında tehlikeyi önlemeye çalışabilir. Ancak oluşacak muhtemel bir tehlike, uçağı tamamen etkisiz hale getirecek seviyedeyse ve bu nedenle de pilotun hayatı tehlikeye giriyorsa, pilotun uçaktan olabildiğince hızlı ve zararsız bir şekilde çıkarılması gerekir. Bu çalışmada polikarbonat kokpit kanopisini kesebilme potansiyeline sahip yöntemler detaylıca araştırılmış ve bahsi geçen bu yöntemlerin arasından patlayan tel yöntemi, yenilikçi yönü ve vaadettiği avantajlar nedeniyle detaylı şekilde incelenmiştir. Öncelikle nümerik modellemeler yardımıyla yöntemin çalışma fenomeninin analizi yapılmıştır. Sonrasında, işbu projenin hedeflerine uygun olarak deney süreci tasarlanmış ve çeşitli varyasyonlarda testler gerçekleştirilmiştir.","Today, airplanes operate with the combination of a wide variety of different systems. Even the slightest error that may occur in these systems can endanger the operation of the aircraft. Sometimes these hazards can be detected and avoided before the aircraft takes off, or the pilot may try to avoid the hazard during flight. However, if the potential hazard is such that the aircraft is completely ineffective and therefore the life of the pilot is endangered, the pilot should be ejected from the aircraft as quickly and harmlessly as possible. In this study, the methods that have the potential to shatter the polycarbonate cockpit canopy were investigated in detail, and among these methods, the exploding wire method was chosen to examine in depth due to its innovative aspect and the benefits. First of all, the working phenomenon of the method was analyzed with numerical models. Followingly, the experimental procedure was designed and tests were carried out in different variations.","kanopi, polikarbonat malzeme, nümerik yöntemler, patlayan tel.","canopy, policarbonate material, numeric methods, exploding wire ."
358,2021-2022,Pilot Otorotasyon Yardımcısı Modülü,Pilot Autorotation Assistant Module,"Helikopterler, uçaklara nazaran daha az verimlilikte çalışan ve daha yavaş hareket eden hava araçlarıdır ancak bunun yanında; havada sağ-sol, yukarı-aşağı gibi hareketleri yapabilme, havada belli bir noktada kalabilme ve dikey iniş-kalkış yapabilme özelliklerine sahiplerdir. Helikopterlerin sahip olduğu bir diğer özellik ise motor durduktan sonra belli bir süre daha havada kalabilmeleridir. Bu özelliği kullanarak helikopterlerin güvenli iniş yapabilmesine otorotasyon denir. Otorotasyon sırasında pilotun kontrol etmesi gereken çok sayıda parametre olmasından ötürü, pilotlar için otorotasyonu kolaylaştıracak bir modülün gereksinimi öngörülmüştür. Hedeflenen nokta ise, verileri bilinen bir helikopterin simülasyon ortamında “Pilot Otorotasyon Yardımcısı Modülü” yardımıyla en uygun yönergeleri vererek pilota güvenli inişi sağlamasıdır.","Helicopters are aircraft that operate less efficiently and move slower than aircraft, but besides; They have the ability to make movements such as right-left, up-down in the air, staying at a certain point in the air and vertical take-off and landing. Another feature of helicopters is that they can stay in the air for a certain time after the engine stops. The ability of helicopters to land safely using this feature is called autorotation. Since there are many parameters that the pilot must control during autorotation, the need for a module that will facilitate autorotation for pilots has been envisaged. The aim is to provide the pilot with the most appropriate instructions with the help of the ""Pilot Autorotation Assistant Module"" in the simulation environment of a helicopter with known data.",helikopter; otorotasyon; rotor sistemi; flare; X-Plane; Simulink.,helicopter; autorotation; rotor system; flare; X- Plane; simulink.
364,2021-2022,PMSM Senkron Motor Kontrolcü Tasarımı (FOC ile),PMSM Synchronous Motor Controller Design (with FOC),"Bu çalışmada sabit mıknatıslı senkron motorlar (PMSM) için daha önceden belirlenmiş tasarım kısıtlarına ve havacılık standartlarına uygun bir alan yönelimli kontrolcü (FOC) tasarımı için Ar-Ge altyapısının oluşturulması adına araştırmalar ve uygulamalar gerçekleştirilmiştir. Belirlenen tasarımla birlikte bir test ortamı oluşturulması ve tasarım gereksinimleri göz önüne alınarak uygun model belirlenmesi hedeflenmiştir. Tasarım bir hava aracı için yapılacağından havacılık donanım tasarım standardı olan DO-254 dikkate alınmıştır. Bunun için MIL-STD-4761, MIL-STD-4753, MIL- STD-7080, MIL-STD-7082, MIL-STD202G, MIL-PRF-15733J, MIL-STD-889C, MIL-STD-704E standartları belirlenmiştir. 28VDC ve 1000 RPM kısıtları belirlenmiş ve buna uygun MATLAB modeli seçilmiştir. Benzetim modeli ve uygun motor üzerinde çeşitli testler gerçekleştirilmiştir. Hata ağacı içerisindeki tek hata durumlarının önüne geçilmesi için çalışılmıştır.","In this study, researches and applications were carried out to establish the R&D basis for the design of a field- oriented controller (FOC) for permanent magnet synchronous motors (PMSM) in accordance with the previously determined design constraints and aviation standards. It is aimed to create a test environment with the determined design and to specify appropriate model considering the design requirements. Since the design will be made for an aircraft, DO-254, which is the aviation hardware design standard, has been taken into consideration. For this, MIL-STD-4761, MIL-STD-4753, MIL- STD-7080, MIL-STD-7082, MIL-STD202G, MIL-PRF-15733J, MIL-STD-889C, MIL-STD-704E standards have been considered. 28VDC and 1000 RPM constraints were determined and the MATLAB model was chosen accordingly. Some tests were done on the simulated model and the appropriate engine. To avoid single error situtations in the error tree, studies were realized.","PMSM, FOC, Motor kontrolcü","PMSM, FOC, Motor Controller"
